date,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
2021-01-12,41121,121129,19312
2021-01-13,42898,174276,13369
2021-01-14,44358,239815,8362
2021-01-15,50741,274793,4854
2021-01-16,37759,320894,3817
2021-01-17,35263,275434,1775
2021-01-18,34134,154564,1284
2021-01-19,30371,167150,3750
2021-01-20,35061,298373,2989
2021-01-21,34371,318151,2723
2021-01-22,37115,357563,2334
2021-01-23,30496,424478,1118
2021-01-24,27580,443330,774
2021-01-25,20149,198592,610
2021-01-26,17920,234851,1326
2021-01-27,22914,259306,1001
2021-01-28,26182,251902,1090
2021-01-29,26709,343193,1271
2021-01-30,21089,436360,1526
2021-01-31,19054,539691,10252
2021-02-01,16815,289359,2757
2021-02-02,15021,280513,1596
2021-02-03,17265,300173,1386
2021-02-04,18529,378794,2282
2021-02-05,17314,388426,2611
2021-02-06,16302,401636,1941
2021-02-07,14466,458318,601
2021-02-08,12270,229514,312
2021-02-09,10916,252269,1419
2021-02-10,11551,311654,2173
2021-02-11,12001,338855,4092
2021-02-12,13299,386734,4646
2021-02-13,11697,436925,3733
2021-02-14,9499,429497,2186
2021-02-15,8609,187246,837
2021-02-16,9236,219760,1854
2021-02-17,10926,312669,3128
2021-02-18,10740,422576,4497
2021-02-19,10296,396262,4561
2021-02-20,8964,323802,3895
2021-02-21,8408,306109,2432
2021-02-22,9420,113987,2346
2021-02-23,7292,155084,5344
2021-02-24,8644,284897,9581
2021-02-25,8623,396937,14209
2021-02-26,7393,432112,16168
2021-02-27,6527,452777,16226
2021-02-28,5080,371364,15584
2021-03-01,4738,161559,9388
2021-03-02,5530,160580,12632
2021-03-03,5408,181316,27652
2021-03-04,5643,231002,44001
2021-03-05,5053,320388,45045
2021-03-06,5118,385681,37235
2021-03-07,4497,383618,21688
2021-03-08,3903,140108,9133
2021-03-09,4894,183736,23800
2021-03-10,4863,181127,47151
2021-03-11,5744,206720,70960
2021-03-12,5529,211393,69680
2021-03-13,4539,312716,67514
2021-03-14,3774,457632,38640
2021-03-15,4264,223017,14378
2021-03-16,4391,330676,32082
2021-03-17,4827,370842,62909
2021-03-18,5213,392769,90906
2021-03-19,3809,451465,104609
2021-03-20,4732,535489,100730
2021-03-21,4459,686424,70449
2021-03-22,4746,295359,30418
2021-03-23,4583,282561,64436
2021-03-24,4615,268651,134547
2021-03-25,5286,275881,208013
2021-03-26,5273,258050,198206
2021-03-27,3813,344008,250962
2021-03-28,3153,367393,201335
2021-03-29,4112,252376,127078
2021-03-30,3384,186329,137405
2021-03-31,3327,176063,233828
2021-04-01,3784,188045,341748
2021-04-02,2881,122410,411998
2021-04-03,2847,68281,215754
2021-04-04,1954,74512,157903
2021-04-05,2236,26617,39491
2021-04-06,1937,19826,54060
2021-04-07,2304,54296,162466
2021-04-08,2486,58962,372241
2021-04-09,2638,55539,403212
2021-04-10,2032,62274,404206
2021-04-11,1338,74055,437442
2021-04-12,3222,36599,160454
2021-04-13,2070,25351,166273
2021-04-14,2054,39361,257732
2021-04-15,2171,79117,292383
2021-04-16,2225,93587,363002
2021-04-17,1897,102280,446025
2021-04-18,1495,112095,458880
2021-04-19,2550,69198,195871
2021-04-20,2169,85055,215665
2021-04-21,1943,84871,272929
2021-04-22,2315,92703,339773
2021-04-23,2277,103988,345675
2021-04-24,1804,107656,394144
2021-04-25,1401,124858,478008
2021-04-26,1752,61586,227159
2021-04-27,2410,67483,249768
2021-04-28,1829,85067,313616
2021-04-29,2103,103352,394152
2021-04-30,2046,110976,395043
2021-05-01,1642,115366,361758
2021-05-02,1377,123619,329170
2021-05-03,1453,70777,137400
2021-05-04,1659,59113,99785
2021-05-05,1906,99261,211639
2021-05-06,2194,107791,348553
2021-05-07,2142,101594,419232
2021-05-08,1742,107518,414731
2021-05-09,1418,137003,404510
2021-05-10,2009,73338,160313
2021-05-11,2117,76110,192723
2021-05-12,1804,98515,308915
2021-05-13,2229,146934,402524
2021-05-14,1828,173820,378650
2021-05-15,1614,185059,346425
2021-05-16,1471,205962,353764
2021-05-17,1645,105520,157687
2021-05-18,2008,85946,210442
2021-05-19,2151,154621,269283
2021-05-20,2307,235979,309020
2021-05-21,2303,234818,367142
2021-05-22,2242,192008,371460
2021-05-23,1734,178251,508013
2021-05-24,1972,101708,220062
2021-05-25,2081,95484,279672
2021-05-26,2540,157084,327467
2021-05-27,2936,206311,368554
2021-05-28,3434,223510,374042
2021-05-29,2747,174622,380855
2021-05-30,2621,155467,381816
2021-05-31,2854,99213,179424
2021-06-01,2539,70948,154674
2021-06-02,3486,75701,279285
2021-06-03,4310,132668,288963
2021-06-04,5102,157335,313526
2021-06-05,4810,150337,321602
2021-06-06,4405,175001,415644
2021-06-07,4913,99621,217491
2021-06-08,5250,89639,244107
2021-06-09,6201,109068,252697
2021-06-10,6436,149733,253913
2021-06-11,6782,173443,248650
2021-06-12,6601,177139,251641
2021-06-13,6269,228144,276813
2021-06-14,6647,123866,153449
2021-06-15,6486,114606,174262
2021-06-16,7642,154647,175703
2021-06-17,9371,170367,180627
2021-06-18,9185,217157,176158
2021-06-19,8954,196246,162030
2021-06-20,7778,255393,195646
2021-06-21,8766,142223,78594
2021-06-22,9096,0,0
2021-06-23,12765,275647,210730
2021-06-24,13068,187513,128688
2021-06-25,13498,202390,136679
2021-06-26,15136,177515,133375
2021-06-27,11560,212685,172324
2021-06-28,18702,118366,97993
2021-06-29,16802,106496,107318
2021-06-30,21293,115376,115484
2021-07-01,22948,120497,138993
2021-07-02,22393,133675,154177
2021-07-03,21317,107959,142275
2021-07-04,20454,121588,165665
2021-07-05,23286,62672,85748
2021-07-06,25295,63859,107977
2021-07-07,27516,71524,109148
2021-07-08,28421,72814,128226
2021-07-09,31231,82807,135457
2021-07-10,29732,77955,143603
2021-07-11,28421,82150,174745
2021-07-12,30619,33937,80755
2021-07-13,32883,45184,99817
2021-07-14,37895,49756,124905
2021-07-15,44523,50005,151335
2021-07-16,47360,52493,167152
2021-07-17,50955,50247,163936
2021-07-18,44777,59268,196422
2021-07-19,34657,27654,105472
2021-07-20,43261,31469,112544
2021-07-21,39504,33657,126163
2021-07-22,35939,38826,146281
2021-07-23,32792,39457,156245
2021-07-24,28968,37888,154761
2021-07-25,25434,38958,177885
2021-07-26,22181,20382,94435
2021-07-27,20290,25220,115924
2021-07-28,24367,29182,118328
2021-07-29,27524,32492,131048
2021-07-30,26241,35751,145472
2021-07-31,23949,30683,142715
2021-08-01,21645,32892,182825
2021-08-02,19175,18545,92416
2021-08-03,19012,22454,94425
2021-08-04,26393,24874,108604
2021-08-05,26512,28780,131581
2021-08-06,28321,30986,143423
2021-08-07,25877,27032,137172
2021-08-08,24196,33159,184869
2021-08-09,21915,18607,94332
2021-08-10,20630,20933,112286
2021-08-11,26647,28314,123721
2021-08-12,28093,33164,145954
2021-08-13,28679,35082,165425
2021-08-14,26700,32476,143690
2021-08-15,22859,39423,173718
2021-08-16,23171,24829,101881
2021-08-17,22712,28992,117998
2021-08-18,28648,33478,120908
2021-08-19,29762,39721,147569
2021-08-20,29576,47632,153886
2021-08-21,26982,51538,145473
2021-08-22,25952,61187,174038
2021-08-23,24158,32424,96246
2021-08-24,23474,37974,113005
2021-08-25,27350,45945,109221
2021-08-26,29417,57563,142307
2021-08-27,27545,46165,127267
2021-08-28,25118,38392,115249
2021-08-29,22501,37991,116583
2021-08-30,21324,20547,64710
2021-08-31,20967,15530,52137
2021-09-01,24723,34618,105003
2021-09-02,28686,37829,102086
2021-09-03,31726,33775,103997
2021-09-04,29614,29614,98122
2021-09-05,27022,33987,116327
2021-09-06,27202,15892,59265
2021-09-07,27545,18277,69758
2021-09-08,29286,22866,73004
2021-09-09,27049,20409,75548
2021-09-10,26653,22006,86592
2021-09-11,23825,21879,78763
2021-09-12,19913,23925,86068
2021-09-13,21077,11724,42902
2021-09-14,19739,15511,54807
2021-09-15,22078,17708,56521
2021-09-16,22949,20120,57096
2021-09-17,23265,18974,58941
2021-09-18,22956,17351,55257
2021-09-19,22173,21628,66134
2021-09-20,26905,10344,30458
2021-09-21,24973,15669,41438
2021-09-22,27317,16924,39248
2021-09-23,29045,18462,39676
2021-09-24,28199,21588,41728
2021-09-25,28087,21866,39567
2021-09-26,25538,17607,43049
2021-09-27,29329,8814,21476
2021-09-28,28808,20704,28590
2021-09-29,29036,28566,29670
2021-09-30,29826,27445,29907
2021-10-01,28836,28689,30318
2021-10-02,26794,31978,29993
2021-10-03,25176,18736,30849
2021-10-04,28251,10720,17502
2021-10-05,28846,30784,24746
2021-10-06,33450,35193,24253
2021-10-07,33305,24519,24135
2021-10-08,32157,25319,24208
2021-10-09,31259,25536,25006
2021-10-10,31096,18438,29751
2021-10-11,32349,9111,15643
2021-10-12,33287,23232,20350
2021-10-13,36458,30636,22447
2021-10-14,38488,32315,24828
2021-10-15,37691,38185,23489
2021-10-16,39624,35884,25380
2021-10-17,38543,19735,30440
2021-10-18,39473,9839,14545
2021-10-19,36712,35334,20668
2021-10-20,41498,38533,21141
2021-10-21,44363,44521,21701
