areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,2021/12/3,43888,8802632
nation,England,E92000001,2021/12/2,45880,8758744
nation,England,E92000001,2021/12/1,41519,8713738
nation,England,E92000001,2021/11/30,33590,8673344
nation,England,E92000001,2021/11/29,34906,8639754
nation,England,E92000001,2021/11/28,32136,8605284
nation,England,E92000001,2021/11/27,35798,8574315
nation,England,E92000001,2021/11/26,42272,8538517
nation,England,E92000001,2021/11/25,40382,8496990
nation,England,E92000001,2021/11/24,36511,8457187
nation,England,E92000001,2021/11/23,36550,8421911
nation,England,E92000001,2021/11/22,36478,8385361
nation,England,E92000001,2021/11/21,33513,8349363
nation,England,E92000001,2021/11/20,36339,8316395
nation,England,E92000001,2021/11/19,37006,8281117
nation,England,E92000001,2021/11/18,39315,8244111
nation,England,E92000001,2021/11/17,30638,8205448
nation,England,E92000001,2021/11/16,30853,8175202
nation,England,E92000001,2021/11/15,31440,8144766
nation,England,E92000001,2021/11/14,29404,8113757
nation,England,E92000001,2021/11/13,33493,8084740
nation,England,E92000001,2021/11/12,33155,8051924
nation,England,E92000001,2021/11/11,35472,8020241
nation,England,E92000001,2021/11/10,31541,7984769
nation,England,E92000001,2021/11/9,27872,7953228
nation,England,E92000001,2021/11/8,24979,7925681
nation,England,E92000001,2021/11/7,23779,7901039
nation,England,E92000001,2021/11/6,26250,7877720
nation,England,E92000001,2021/11/5,28490,7852005
nation,England,E92000001,2021/11/4,30166,7823979
nation,England,E92000001,2021/11/3,34317,7794507
nation,England,E92000001,2021/11/2,28531,7760671
nation,England,E92000001,2021/11/1,32081,7732441
nation,England,E92000001,2021/10/31,31479,7700753
nation,England,E92000001,2021/10/30,36204,7669614
nation,England,E92000001,2021/10/29,36853,7633950
nation,England,E92000001,2021/10/28,33903,7597473
nation,England,E92000001,2021/10/27,37502,7564400
nation,England,E92000001,2021/10/26,32280,7526898
nation,England,E92000001,2021/10/25,33309,7494992
nation,England,E92000001,2021/10/24,33221,7462144
nation,England,E92000001,2021/10/23,41259,7430143
nation,England,E92000001,2021/10/22,41745,7388884
nation,England,E92000001,2021/10/21,44363,7347703
nation,England,E92000001,2021/10/20,41498,7303864
nation,England,E92000001,2021/10/19,36712,7262958
nation,England,E92000001,2021/10/18,39473,7226658
nation,England,E92000001,2021/10/17,38543,7187635
nation,England,E92000001,2021/10/16,39624,7149533
nation,England,E92000001,2021/10/15,37691,7110513
nation,England,E92000001,2021/10/14,38488,7073467
nation,England,E92000001,2021/10/13,36458,7035489
nation,England,E92000001,2021/10/12,33287,7000356
nation,England,E92000001,2021/10/11,32349,6967915
nation,England,E92000001,2021/10/10,31096,6936327
nation,England,E92000001,2021/10/9,31259,6906211
nation,England,E92000001,2021/10/8,32157,6876192
nation,England,E92000001,2021/10/7,33305,6845186
nation,England,E92000001,2021/10/6,33450,6812848
nation,England,E92000001,2021/10/5,28846,6780567
nation,England,E92000001,2021/10/4,28251,6752536
nation,England,E92000001,2021/10/3,25176,6725105
nation,England,E92000001,2021/10/2,26794,6700702
nation,England,E92000001,2021/10/1,28836,6674820
nation,England,E92000001,2021/9/30,29826,6646963
nation,England,E92000001,2021/9/29,29036,6617892
nation,England,E92000001,2021/9/28,28808,6590514
nation,England,E92000001,2021/9/27,29329,6561706
nation,England,E92000001,2021/9/26,25538,6532847
nation,England,E92000001,2021/9/25,28087,6507849
nation,England,E92000001,2021/9/24,28199,6481363
nation,England,E92000001,2021/9/23,29045,6453164
nation,England,E92000001,2021/9/22,27317,6425056
nation,England,E92000001,2021/9/21,24973,6398633
nation,England,E92000001,2021/9/20,26905,6374123
nation,England,E92000001,2021/9/19,22173,6347616
nation,England,E92000001,2021/9/18,22956,6326046
nation,England,E92000001,2021/9/17,23265,6303792
nation,England,E92000001,2021/9/16,22949,6281236
nation,England,E92000001,2021/9/15,22078,6258872
nation,England,E92000001,2021/9/14,19739,6237505
nation,England,E92000001,2021/9/13,21077,6218198
nation,England,E92000001,2021/9/12,19913,6197654
nation,England,E92000001,2021/9/11,23825,6178293
nation,England,E92000001,2021/9/10,26653,6155149
nation,England,E92000001,2021/9/9,27049,6129372
nation,England,E92000001,2021/9/8,29286,6102850
nation,England,E92000001,2021/9/7,27545,6074040
nation,England,E92000001,2021/9/6,27202,6046799
nation,England,E92000001,2021/9/5,27022,6019976
nation,England,E92000001,2021/9/4,29614,5993444
nation,England,E92000001,2021/9/3,31726,5964760
nation,England,E92000001,2021/9/2,28686,5933034
nation,England,E92000001,2021/9/1,24723,5904664
nation,England,E92000001,2021/8/31,20967,5880134
nation,England,E92000001,2021/8/30,21324,5859405
nation,England,E92000001,2021/8/29,22501,5838323
nation,England,E92000001,2021/8/28,25118,5816071
nation,England,E92000001,2021/8/27,27545,5791272
nation,England,E92000001,2021/8/26,29417,5764066
nation,England,E92000001,2021/8/25,27350,5734967
nation,England,E92000001,2021/8/24,23474,5707906
nation,England,E92000001,2021/8/23,24158,5684645
nation,England,E92000001,2021/8/22,25952,5660725
nation,England,E92000001,2021/8/21,26982,5635046
nation,England,E92000001,2021/8/20,29576,5608339
nation,England,E92000001,2021/8/19,29762,5579087
nation,England,E92000001,2021/8/18,28648,5549621
nation,England,E92000001,2021/8/17,22712,5521231
nation,England,E92000001,2021/8/16,23171,5498742
nation,England,E92000001,2021/8/15,22859,5475833
nation,England,E92000001,2021/8/14,26700,5453294
nation,England,E92000001,2021/8/13,28679,5426971
nation,England,E92000001,2021/8/12,28093,5398629
nation,England,E92000001,2021/8/11,26647,5370904
nation,England,E92000001,2021/8/10,20630,5344609
nation,England,E92000001,2021/8/9,21915,5324191
nation,England,E92000001,2021/8/8,24196,5302555
nation,England,E92000001,2021/8/7,25877,5278675
nation,England,E92000001,2021/8/6,28321,5253181
nation,England,E92000001,2021/8/5,26512,5225224
nation,England,E92000001,2021/8/4,26393,5199102
nation,England,E92000001,2021/8/3,19012,5173082
nation,England,E92000001,2021/8/2,19175,5154292
nation,England,E92000001,2021/8/1,21645,5135378
nation,England,E92000001,2021/7/31,23949,5114064
nation,England,E92000001,2021/7/30,26241,5090505
nation,England,E92000001,2021/7/29,27524,5064671
nation,England,E92000001,2021/7/28,24367,5037630
nation,England,E92000001,2021/7/27,20290,5013664
nation,England,E92000001,2021/7/26,22181,4993657
nation,England,E92000001,2021/7/25,25434,4972040
nation,England,E92000001,2021/7/24,28968,4947127
nation,England,E92000001,2021/7/23,32792,4918669
nation,England,E92000001,2021/7/22,35939,4886612
nation,England,E92000001,2021/7/21,39504,4851264
nation,England,E92000001,2021/7/20,43261,4812460
nation,England,E92000001,2021/7/19,34657,4769632
nation,England,E92000001,2021/7/18,44777,4735387
nation,England,E92000001,2021/7/17,50955,4691172
nation,England,E92000001,2021/7/16,47360,4640922
nation,England,E92000001,2021/7/15,44523,4594159
nation,England,E92000001,2021/7/14,37895,4550298
nation,England,E92000001,2021/7/13,32883,4512957
nation,England,E92000001,2021/7/12,30619,4480518
nation,England,E92000001,2021/7/11,28421,4450372
nation,England,E92000001,2021/7/10,29732,4422370
nation,England,E92000001,2021/7/9,31231,4393205
nation,England,E92000001,2021/7/8,28421,4362481
nation,England,E92000001,2021/7/7,27516,4334634
nation,England,E92000001,2021/7/6,25295,4307618
nation,England,E92000001,2021/7/5,23286,4282762
nation,England,E92000001,2021/7/4,20454,4259710
nation,England,E92000001,2021/7/3,21317,4239686
nation,England,E92000001,2021/7/2,22393,4218807
nation,England,E92000001,2021/7/1,22948,4196833
nation,England,E92000001,2021/6/30,21293,4174318
nation,England,E92000001,2021/6/29,16802,4153487
nation,England,E92000001,2021/6/28,18702,4136940
nation,England,E92000001,2021/6/27,11560,4118462
nation,England,E92000001,2021/6/26,15136,4107155
nation,England,E92000001,2021/6/25,13498,4092346
nation,England,E92000001,2021/6/24,13068,4079362
nation,England,E92000001,2021/6/23,12765,4066294
nation,England,E92000001,2021/6/22,9096,4053782
nation,England,E92000001,2021/6/21,8766,4044830
nation,England,E92000001,2021/6/20,7778,4036230
nation,England,E92000001,2021/6/19,8954,4028664
nation,England,E92000001,2021/6/18,9185,4019956
nation,England,E92000001,2021/6/17,9371,4010977
nation,England,E92000001,2021/6/16,7642,4001803
nation,England,E92000001,2021/6/15,6486,3994408
nation,England,E92000001,2021/6/14,6647,3988008
nation,England,E92000001,2021/6/13,6269,3981497
nation,England,E92000001,2021/6/12,6601,3975399
nation,England,E92000001,2021/6/11,6782,3968986
nation,England,E92000001,2021/6/10,6436,3962371
nation,England,E92000001,2021/6/9,6201,3956096
nation,England,E92000001,2021/6/8,5250,3950123
